days	Date	N1	S1	Nq1	dEm1	CummulativeEm	dEq1	CummulativeEq	dIa1	CummulativeIa	dIm1	CummulativeIm	dIq1	CummulativeIq	dHa1	CummulativeHa	dHs1	CummulativeHs	ddR1	CummulativeR		
59	22-Mar	7962846	7714093	248398	23	170	265	3894	2	31	9	185	12	185	2	22	42	290	0	103		
60	23-Mar	7964402	7723102	240986	18	188	213	4107	1	32	18	203	24	209	4	26	35	325	1	104		
61	24-Mar	7968589	7729505	238724	17	205	248	4355	11	43	24	227	29	238	3	29	27	352	1	105		
62	25-Mar	7970641	7743994	226345	12	217	199	4554	14	57	19	246	31	269	2	31	21	373	4	109		
63	26-Mar	7970999	7756454	214210	19	236	210	4764	15	72	17	263	27	296	1	32	42	415	4	113		
64	27-Mar	7972426	7772404	199555	35	271	326	5090	13	85	9	272	19	315	11	43	53	468	1	114		
65	28-Mar	7975614	7790245	184938	33	304	302	5392	7	92	9	281	15	330	14	57	50	518	1	115		
66	29-Mar	7978243	7813858	164033	32	336	204	5596	10	102	18	299	23	353	15	72	44	562	6	121		
67	30-Mar	7980118	7834329	145492	22	358	191	5787	12	114	8	307	17	370	13	85	28	590	6	127		
68	31-Mar	7981424	7851664	129384	16	374	282	6069	12	126	13	320	18	388	7	92	24	614	4	131		
69	1-Apr	7982258	7871029	110934	28	402	180	6249	5	131	5	325	7	395	10	102	41	655	19	150		
70	2-Apr	7982805	7883257	99310	20	422	146	6395	8	139	2	327	18	413	12	114	25	680	7	157		
71	3-Apr	7983208	7896852	86120	25	447	125	6520	10	149	3	330	11	424	12	126	31	711	19	176		
72	4-Apr	7983608	7909418	73963	10	457	166	6686	5	154	8	338	8	432	5	131	12	723	13	189		
73	5-Apr	7984397	7921337	62793	10	467	184	6870	9	163	9	347	7	439	8	139	20	743	20	209		
74	6-Apr	7985013	7932195	52663	13	480	95	6965	1	164	3	350	9	448	10	149	14	757	10	219		
75	7-Apr	7985232	7946200	38842	13	493	120	7085	6	170	2	352	8	456	5	154	16	773	20	239		
76	8-Apr	7985985	7950642	35136	18	511	125	7210	4	174	1	353	6	462	9	163	16	789	28	267		
77	9-Apr	7986316	7954370	31806	4	515	90	7300	1	175	0	353	3	465	1	164	12	801	29	296		
78	10-Apr	7986815	7957257	29422	8	523	91	7391	3	178	0	353	2	467	6	170	10	811	16	312		
79	11-Apr	7987085	7961294	25690	5	528	55	7446	3	181	0	353	0	467	4	174	7	818	27	339		
80	12-Apr	7987484	7964116	23280	1	529	55	7501	3	184	0	353	1	468	1	175	3	821	24	363		
81	13-Apr	7988026	7966576	21374	3	532	30	7531	0	184	0	353	1	469	3	178	2	823	37	400		
82	14-Apr	7988581	7968492	20017	3	535	25	7556	1	185	1	354	2	471	3	181	0	823	37	437		
83	15-Apr	7989046	7969904	19078	3	538	30	7586	1	186	0	354	1	472	3	184	1	824	25	462		
84	16-Apr	7989605	7970872	18677	0	538	27	7613	1	187	1	355	0	472	0	184	1	825	26	488		
85	17-Apr	7990190	7971653	18458	2	540	25	7638	0	187	0	355	0	472	1	185	3	828	48	536		
86	18-Apr	7990433	7972249	18101	1	541	41	7679	2	189	0	355	2	474	1	186	1	829	35	571		
87	19-Apr	7990985	7973351	17551	2	543	41	7720	3	192	0	355	1	475	1	187	1	830	34	605		
88	20-Apr	7991561	7974176	17330	0	543	25	7745	0	192	0	355	2	477	0	187	0	830	28	633		
89	21-Apr	7992029	7974769	17201	2	545	33	7778	0	192	0	355	0	477	2	189	2	832	20	653		
90	22-Apr	7992463	7975737	16660	3	548	28	7806	1	193	0	355	1	478	3	192	1	833	29	682		
91	23-Apr	7992650	7976367	16195	0	548	66	7872	0	193	0	355	0	478	0	192	2	835	20	702		
92	24-Apr	7993193	7977304	15843	0	548	19	7891	0	193	0	355	0	478	0	192	0	835	27	729		
93	25-Apr	7993541	7977705	15780	1	549	25	7916	0	193	0	355	0	478	1	193	1	836	28	757		
94	26-Apr	7993824	7978246	15545	0	549	14	7930	0	193	0	355	0	478	0	193	0	836	19	776		
95	27-Apr	7993868	7978410	15428	0	549	15	7945	0	193	0	355	0	478	0	193	0	836	15	791		
96	28-Apr	7994385	7979118	15226	0	549	15	7960	2	195	0	355	0	478	0	193	0	836	24	815		
97	29-Apr	7995049	7979681	15331	0	549	18	7978	0	195	0	355	0	478	0	193	0	836	19	834		
98	30-Apr	7996049	7979977	16040	0	549	16	7994	0	195	0	355	0	478	0	193	0	836	16	850		
99	1-May	7996579	7980475	16078	2	551	8	8002	0	195	0	355	1	479	2	195	0	836	13	863		
100	2-May	7997026	7980753	16255	0	551	13	8015	0	195	0	355	0	479	0	195	0	836	5	868		
101	3-May	7998133	7981353	16754	0	551	11	8026	0	195	0	355	0	479	0	195	0	836	15	883		
102	4-May	7998938	7981862	17035	0	551	15	8041	4	199	0	355	0	479	0	195	1	837	21	904		
103	5-May	7999529	7982244	17250	0	551	15	8056	0	199	0	355	0	479	0	195	0	837	20	924		
104	6-May	8000205	7982627	17555	0	551	11	8067	0	199	0	355	0	479	0	195	0	837	12	936		
105	7-May	8000903	7982778	18083	4	555	19	8086	2	201	0	355	1	480	4	199	0	837	12	948		
106	8-May	8002636	7983195	19408	0	555	17	8103	0	201	0	355	0	480	0	199	0	837	16	964		
107	9-May	8003970	7983498	20458	0	555	7	8110	0	201	0	355	0	480	0	199	0	837	7	971		
108	10-May	8006464	7983832	22597	2	557	12	8122	0	201	2	357	1	481	2	201	1	838	15	986		
109	11-May	8008751	7984038	24691	0	557	18	8140	1	202	0	357	0	481	0	201	0	838	3	989		
110	12-May	8010941	7984444	26490	0	557	0	8140	0	202	0	357	1	482	0	201	0	838	6	995		
111	13-May	8012198	7985004	27146	2	559	26	8166	0	202	0	357	0	482	0	201	3	841	17	1012		
112	14-May	8013199	7986148	27031	1	560	14	8180	2	204	0	357	1	483	1	202	0	841	1	1013		
113	15-May	8014581	7986948	27606	0	560	16	8196	0	204	0	357	0	483	0	202	1	842	10	1023		
114	16-May	8015984	7987277	28704	0	560	0	8196	0	204	0	357	0	483	0	202	0	842	3	1026		
115	17-May	8017841	7988364	29458	2	562	12	8208	0	204	0	357	0	483	2	204	1	843	2	1028		
116	18-May	8019304	7989192	30103	0	562	0	8208	5	209	0	357	3	486	0	204	0	843	1	1029		
117	19-May	8020109	7989616	30491	0	562	0	8208	1	210	0	357	1	487	0	204	0	843	0	1029		
118	20-May	8021578	7990432	31145	0	562	0	8208	0	210	0	357	0	487	0	204	0	843	1	1030		
119	21-May	8022946	7991114	31800	5	567	16	8224	0	210	0	357	0	487	5	209	3	846	3	1033		
120	22-May	8024647	7992967	31653	1	568	24	8248	0	210	0	357	0	487	1	210	1	847	0	1033		
121	23-May	8026951	7994442	32509	0	568	0	8248	0	210	0	357	0	487	0	210	0	847	0	1033		
122	24-May	8030537	7996975	33560	0	568	0	8248	0	210	0	357	1	488	0	210	0	847	1	1034		
