days	Date	N1	S1	Nq1	dEm1	CummulativeEm	dEq1	CummulativeEq	dIa1	CummulativeIa	dIm1	CummulativeIm	dIq1	CummulativeIq	dHa1	CummulativeHa	dHs1	CummulativeHs	ddR1	CummulativeR		
243	22-Sep	8004861	7963932	40899	8	4398	0	14763	1	1251	1	3106	0	612	7	1245	1	3715	12	4832		
244	23-Sep	8005090	7965753	39309	3	4401	0	14763	0	1251	0	3106	1	613	1	1246	2	3717	21	4853		
245	24-Sep	8004735	7966117	38589	7	4408	0	14763	4	1255	1	3107	1	614	4	1250	3	3720	9	4862		
246	25-Sep	8004707	7966680	38005	2	4410	0	14763	5	1260	3	3110	2	616	1	1251	1	3721	8	4870		
247	26-Sep	8004933	7967530	37386	0	4410	0	14763	4	1264	0	3110	0	616	0	1251	1	3722	12	4882		
248	27-Sep	8005906	7971215	34647	5	4415	16	14779	6	1270	0	3110	2	618	4	1255	2	3724	9	4891		
249	28-Sep	8006365	7973064	33269	8	4423	0	14779	3	1273	1	3111	6	624	5	1260	5	3729	4	4895		
250	29-Sep	8006903	7974087	32784	4	4427	0	14779	3	1276	3	3114	1	625	4	1264	0	3729	17	4912		
251	30-Sep	8008187	7974359	33775	6	4433	15	14794	3	1279	1	3115	0	625	6	1270	2	3731	20	4932		
252	1-Oct	8008131	7974262	33810	4	4437	30	14824	3	1282	1	3116	1	626	3	1273	7	3738	10	4942		
253	2-Oct	8008459	7974660	33746	6	4443	23	14847	6	1288	2	3118	3	629	3	1276	4	3742	6	4948		
254	3-Oct	8009022	7976192	32797	4	4447	11	14858	4	1292	4	3122	0	629	3	1279	1	3743	6	4954		
255	4-Oct	8010378	7978898	31433	4	4451	15	14873	3	1295	8	3130	0	629	3	1282	2	3745	12	4966		
256	5-Oct	8010891	7979976	30861	8	4459	14	14887	11	1306	6	3136	1	630	6	1288	5	3750	3	4969		
257	6-Oct	8010743	7980065	30616	8	4467	27	14914	3	1309	5	3141	0	630	4	1292	4	3754	11	4980		
258	7-Oct	8010044	7980099	29888	11	4478	19	14933	4	1313	2	3143	0	630	3	1295	8	3762	10	4990		
259	8-Oct	8009538	7979505	29958	17	4495	28	14961	4	1317	3	3146	0	630	11	1306	7	3769	5	4995		
260	9-Oct	8009452	7979756	29626	9	4504	25	14986	6	1323	3	3149	2	632	3	1309	5	3774	17	5012		
261	10-Oct	8009408	7979947	29434	6	4510	0	14986	5	1328	3	3152	0	632	4	1313	2	3776	7	5019		
262	11-Oct	8010752	7980927	29806	7	4517	0	14986	0	1328	0	3152	0	632	4	1317	3	3779	5	5024		
263	12-Oct	8011251	7981564	29643	9	4526	10	14996	7	1335	3	3155	2	634	6	1323	5	3784	2	5026		
264	13-Oct	8011326	7982908	28385	8	4534	0	14996	5	1340	1	3156	1	635	5	1328	3	3787	10	5036		
265	14-Oct	8011389	7984279	27092	0	4534	0	14996	17	1357	0	3156	0	635	0	1328	0	3787	1	5037		
266	15-Oct	8011642	7983716	27874	10	4544	15	15011	2	1359	2	3158	0	635	7	1335	5	3792	11	5048		
267	16-Oct	8011614	7983190	28372	6	4550	17	15028	14	1373	0	3158	0	635	5	1340	2	3794	8	5056		
268	17-Oct	8011462	7982937	28474	17	4567	0	15028	3	1376	1	3159	1	636	17	1357	0	3794	12	5068		
269	18-Oct	8012660	7984085	28549	4	4571	0	15028	5	1381	1	3160	2	638	2	1359	2	3796	10	5078		
270	19-Oct	8013122	7984689	28385	14	4585	0	15028	8	1389	1	3161	2	640	14	1373	0	3796	9	5087		
271	20-Oct	8012989	7984511	28428	4	4589	23	15051	4	1393	0	3161	0	640	3	1376	2	3798	14	5101		
272	21-Oct	8012773	7983774	28972	6	4595	0	15051	3	1396	1	3162	1	641	5	1381	3	3801	8	5109		
273	22-Oct	8012701	7983783	28864	9	4604	13	15064	5	1401	1	3163	0	641	8	1389	3	3804	15	5124		
274	23-Oct	8012584	7983682	28877	4	4608	0	15064	6	1407	0	3163	1	642	4	1393	0	3804	10	5134		
275	24-Oct	8012789	7984124	28624	4	4612	15	15079	3	1410	0	3163	2	644	3	1396	2	3806	12	5146		
276	25-Oct	8013383	7985541	27822	6	4618	0	15079	2	1412	0	3163	0	644	5	1401	1	3807	6	5152		
277	26-Oct	8014218	7986508	27691	6	4624	0	15079	0	1412	1	3164	2	646	6	1407	1	3808	3	5155		
278	27-Oct	8014785	7986688	28079	3	4627	0	15079	5	1417	1	3165	1	647	3	1410	2	3810	3	5158		
279	28-Oct	8014411	7987106	27289	2	4629	0	15079	2	1419	0	3165	0	647	2	1412	0	3810	10	5168		
280	29-Oct	7989758	7987787	1952	1	4630	0	15079	5	1424	0	3165	0	647	0	1412	3	3813	10	5178		
281	30-Oct	7990294	7988165	2094	6	4636	10	15089	3	1427	0	3165	0	647	5	1417	2	3815	9	5187		
282	31-Oct	7990355	7988094	2242	2	4638	0	15089	5	1432	0	3165	0	647	2	1419	1	3816	9	5196		
283	1-Nov	7991664	7989227	2398	6	4644	16	15105	0	1432	2	3167	1	648	5	1424	2	3818	7	5203		
284	2-Nov	7991589	7990001	1565	6	4650	0	15105	4	1436	1	3168	2	650	3	1427	3	3821	4	5207		
285	3-Nov	7991201	7989459	1694	8	4658	18	15123	5	1441	0	3168	1	651	5	1432	4	3825	7	5214		
286	4-Nov	7991113	7989354	1740	2	4660	0	15123	2	1443	1	3169	0	651	0	1432	3	3828	11	5225		
287	5-Nov	7991425	7989428	1957	5	4665	9	15132	7	1450	3	3172	0	651	4	1436	3	3831	9	5234		
288	6-Nov	7991424	7989594	1809	5	4670	0	15132	5	1455	0	3172	1	652	5	1441	1	3832	4	5238		
289	7-Nov	7991910	7990098	1770	3	4673	19	15151	0	1455	2	3174	7	659	2	1443	1	3833	8	5246		
290	8-Nov	7993195	7990887	2265	10	4683	0	15151	0	1455	3	3177	15	674	7	1450	3	3836	5	5251		
291	9-Nov	7993371	7991759	1571	5	4688	0	15151	12	1467	7	3184	8	682	5	1455	1	3837	3	5254		
292	10-Nov	7993346	7991404	1918	2	4690	0	15151	2	1469	4	3188	0	682	0	1455	9	3846	7	5261		
293	11-Nov	7993331	7991099	2176	3	4693	20	15171	3	1472	3	3191	3	685	0	1455	18	3864	6	5267		
294	12-Nov	7993460	7990858	2510	19	4712	25	15196	8	1480	5	3196	1	686	12	1467	11	3875	11	5278		
295	13-Nov	7992590	7990969	1594	6	4718	0	15196	7	1487	0	3196	1	687	2	1469	4	3879	7	5285		
296	14-Nov	7992296	7990820	1431	6	4724	17	15213	2	1489	1	3197	1	688	3	1472	5	3884	10	5295		
297	15-Nov	7993439	7991480	1915	13	4737	0	15213	7	1496	3	3200	0	688	8	1480	6	3890	7	5302		
298	16-Nov	7992344	7991226	1086	7	4744	0	15213	6	1502	3	3203	4	692	7	1487	1	3891	4	5306		
299	17-Nov	7991622	7990526	1027	3	4747	15	15228	11	1513	21	3224	1	693	2	1489	2	3893	14	5320		
300	18-Nov	7991284	7990034	1171	10	4757	0	15228	8	1521	36	3260	4	697	7	1496	2	3895	12	5332		
301	19-Nov	7991348	7990119	1076	9	4766	34	15262	28	1549	61	3321	0	697	6	1502	6	3901	9	5341		
302	20-Nov	7991044	7989458	1404	32	4798	27	15289	26	1575	63	3384	2	699	11	1513	15	3916	6	5347		
303	21-Nov	7990995	7989045	1711	44	4842	44	15333	26	1601	69	3453	4	703	8	1521	35	3951	9	5356		
304	22-Nov	7991371	7989341	1664	89	4931	86	15419	28	1629	84	3537	0	703	28	1549	40	3991	11	5367		
305	23-Nov	7993299	7989473	3465	89	5020	90	15509	25	1654	75	3612	1	704	26	1575	47	4038	8	5375		
306	24-Nov	7991270	7989066	1815	95	5115	88	15597	28	1682	89	3701	2	706	26	1601	54	4092	7	5382		
307	25-Nov	7991519	7989088	1993	112	5227	107	15704	31	1713	80	3781	2	708	28	1629	57	4149	21	5403		
308	26-Nov	7991852	7989444	1993	100	5327	100	15804	19	1732	109	3890	1	709	25	1654	56	4205	5	5408		
309	27-Nov	7990867	7988345	2100	117	5444	104	15908	28	1760	68	3958	0	709	28	1682	64	4269	13	5421		
310	28-Nov	7989789	7987357	2090	111	5555	131	16039	0	1760	0	3958	0	709	31	1713	53	4322	16	5437		
311	29-Nov	7989887	7986820	2687	128	5683	125	16164	0	1760	0	3958	0	709	19	1732	96	4418	12	5449		
312	30-Nov	7988471	7985973	2233	96	5779	90	16254	0	1760	0	3958	0	709	28	1760	47	4465	4	5453		
